ID,Nombre,Codigo,Disciplina,Categoría,Proveedor,Stock Actual,Alerta Mínima,Pruebas por Caja,Unidad de Medida,Lote Actual,Fecha Vencimiento Actual
xEV1Sw5R8S8YMrAiDMpY,THOMBOREL S,COA-7RNVHY,COAGULACION,,SIEMENS,0,10,,unidades,,
LUpsXjqapuJRBCVLte8z,ACTIN,HEM-W5N5XW,HEMATOLOGIA,,Proveedor N,0,10,,unidades,,
Hek3TppcAHKmF9408Pp6,CONTROL N,HEM-4XH8F1,HEMATOLOGIA,,Proveedor N,0,10,,unidades,,
NpfgOlFIIcuOGvyqxVV6,THOMBOREL S,HEM-U8WLFK,HEMATOLOGIA,,Proveedor N,0,10,,unidades,,
gLlAknIE1E4er6EoyXDj,AMH,INM-XD2W0S,INMUNOLOGIA,,BIOMERIEUX,60,10,60,unidades,,
c1Gyi7fXoFn4mAbLhCb1,ANTI TG,INM-3ID85I,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
AMUeGMNCKXBis8KknKQU,ANTI TPO,INM-J6B13M,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
6qUH56B6AeOi3eRgH4hI,Anti-CCP Plus,,INMUNOLOGIA,,DESEGO,0,10,24,unidades,,
ClJeEclTiDKWAcltMI4v,BNP,,INMUNOLOGIA,,DESEGO,0,10,24,unidades,,
fAB18kYO6QH4f8qTAjY8,Cortisol,,INMUNOLOGIA,,DESEGO,0,10,24,unidades,,
iWXqeLeoDqpLmqy7eou5,E2,INM-ALQQOS,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
E3FUSozB2jFbaZ7x08yi,EPOC,INM-774685,INMUNOLOGIA,,BGEM,0,10,,unidades,,
rIfrArpdpJ5YIHS9km5K,FSH,INM-KU5QMM,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
mrsXMM4mD5ccHfjQf9Fw,FT3,INM-E9TK8A,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
liXr76kjfFiCsnuqFfpN,FT4,INM-MJ5TBX,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
rqzlsmd3bq4uRAyAkI9N,HEP B,INM-YIVSV3,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
fBsCHJzK8iDO1JMIfg1p,HEP C,INM-MCKFNE,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
0hg9rXuu2RpcmmBysM8S,HbA1c Neo,,INMUNOLOGIA,,DESEGO,0,10,24,unidades,,
5bOK71fJbfmBJ6xYhygD,Hormona Antimülleriana,,INMUNOLOGIA,,DESEGO,0,10,24,unidades,,
NEMIHtYKBvkZX2hVMtVg,INSULINA,INM-PQ295K,INMUNOLOGIA,,MEXLAB,0,10,,unidades,,
L8xQfYImKNrMWsjbvL2K,Insulina,,INMUNOLOGIA,,DESEGO,0,10,24,unidades,,
XcRPJENjG5n9cwztNm52,LH,INM-MQBRJA,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
S5kyfOQKhr9qDN3tU408,Marcadores Tumorales,PRUEBA-MAR-328,INMUNOLOGIA,,,53,5,,unidades,,
HM4Wye7BvBm11Fd6XQHD,PCR U,INM-DZ59ZM,INMUNOLOGIA,,MEXLAB,1,10,,unidades,,
IQG0Rcj0NikjvT4VqbMk,PRO BNP,INM-KUYTPJ,INMUNOLOGIA,,BIOMERIEUX,120,10,60,unidades,,
DWnSiz9coHryR9NQITRm,PROL,INM-7Y0GSZ,INMUNOLOGIA,,BIOMERIEUX,120,10,60,unidades,,
t8zLekpBot9qwX37sAx4,PSA,INM-C4N2BM,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
nomLONJJiIMKGomZ6ZnF,PSA Libre,,INMUNOLOGIA,,DESEGO,0,10,24,unidades,,
4EfbSnmDgmcFPBfTeqTS,Progesterona,,INMUNOLOGIA,Reactivo,BIOMERIEUX,0,10,60,unidades,,
dAZGompyJ5oCvxakiUEJ,SSA,INM-HEDFBM,INMUNOLOGIA,,MEXLAB,0,10,,unidades,,
9M2H802poR6rykSjCrf7,SSB,INM-786815,INMUNOLOGIA,,MEXLAB,0,10,,unidades,,
Fivr9iNcT3Y3x4ShVPqz,T3,INM-CXD39A,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
qbasDpspiIS17UDNtRL2,T4,INM-XQ68JP,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
KnmpVnknq74Awg71hw7U,TESTOSTERONA,INM-MRX7TJ,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
KasnNLySeTTdcgE1Iqgd,TSH,INM-GAVUG7,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
ddBufsCPQ4XacrjNhW7e,VITAMINA D,INM-MHRBM2,INMUNOLOGIA,,BIOMERIEUX,0,10,60,unidades,,
1TVV0Zz8N661jkf8ex77,hsCRP,,INMUNOLOGIA,,DESEGO,0,10,24,unidades,,
MAsAqZIH7S5zsF0V8QnU,β-hCG,,INMUNOLOGIA,,DESEGO,0,10,24,unidades,,
6eHgkJGm81pMmfaGXj2u,SPOTFIRE,,MOLECULAR,,,30,10,,unidades,,
fpcC3YUimVGk4Fm4b1DI,HEPATITIS B,PRU-ZH7SVT,PRUEBAS_RAPIDAS,,Proveedor I,0,10,,unidades,,
HDAtobXtpEXqUxoDaLGf,HEPATITIS C,PRU-U4O136,PRUEBAS_RAPIDAS,,Proveedor J,0,10,,unidades,,
ZZVsLjH7biBYeCmfK49g,VDRL,PRU-MHQT18,PRUEBAS_RAPIDAS,,Proveedor H,0,10,,unidades,,
liLskZ8piJYsyytRfTNt,VIH,PRU-7IMLMR,PRUEBAS_RAPIDAS,,Proveedor J,0,10,,unidades,,
LYomOknB85JvUEM1uyJv,ALBUMINA,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
w4lUTG2nDysZEM8VXk9S,ALKP,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,24,10,,unidades,,
tST9S2PVWs3UqgynuVhq,ALTV,QUI-393873,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
eijeNLERqMxwczBYRN0E,AMILASA,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
phmbIyywXSpWPZ858OAP,AMYLASA,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
5fEWmy8MahR8QuMNuN1Z,AST,QUI-393873,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
oCCsQtgSELVvytjbhMTc,BILI TOTAL,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
YJlCuNcTdGikQmlk5f4U,BUN/UREA,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
uFfhlJur3ZVT9fZAZpEb,BuBc,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
eZeFau1gQVmPEVMqCy5y,CAL 1,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
yX3roV4C2AO2Qb89UJMw,CAL 2,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,2,10,,unidades,,
GZ11gQXwmAzjJMUvfss6,CAL 3,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
5g2LrP7BJqlpd6gLiqTD,CAL4,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
6Neu9xKm7wEfhbbYE1OZ,CALCIO,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
LMnfoMzetTpzMUCkuxap,COLESTEROL,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
cJcjkpq02jfSibepvXcy,CREA,QUI-393873,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
hW4MZmKoMt1M6e1GZVNn,Electrolitos Séricos,PRUEBA-ELE-376,QUIMICA_CLINICA,,,28,5,,unidades,,
tVoQuwGOM5RRaZ6sh1VJ,FE,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
K1iR5Z3dFqtugwKDGoZg,FLUID PACKD,QUI-393871,QUIMICA_CLINICA,,DIAMOND DIAGNOSTIC,0,10,,unidades,,
YI9PexYV0EesLsFVEFpd,GGT,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
FRWNnvIBPHfDBOGQnHwn,GLUCOSA,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
mASuebTaOp750xR3ykPr,HIERRO,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
BEPzZ4oH279J6H1nrUDj,LDH,QUI-393873,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
BqvC7rySa4m4jO5iYdLu,LIPASA,QUI-393871,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
R2De6GiJnaYz3qavQAFA,Mg,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
PDiXZjbQhKAlXxniXAcp,PHOS,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
Uux8jx3ysZ5IQE95GgDD,PROT TOTAL,QUI-393873,QUIMICA_CLINICA,,ORTHO CLINICAL,39,10,,unidades,,
WrGNi2pyOvpa4P7rXoh3,T BIL,QUI-393873,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
J191CN8tUJDgyiRhi1U1,TRIGLIS,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
9Df8y8c2tMkuFR8tJwmb,URICO,QUI-393872,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
A87ogBSGSzXPGOsCcNCR,VERIFIER I,QUI-393873,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
Xdv5kUwUL4pay14rSpLJ,VERIFIER II,QUI-393873,QUIMICA_CLINICA,,ORTHO CLINICAL,0,10,,unidades,,
x3tJ9iXflx0sTU6s2J43,AGUJAS 20X1 1/2,TOM-26FB2M,TOMA_MUESTRA,,Proveedor K,0,10,,unidades,,
ToAVJyFWGXy3NZGw5A6t,GUANTES NITRILO,TOM-BRE39R,TOMA_MUESTRA,,Proveedor L,0,10,,unidades,,
0b9PGV63MIWIh1nzsZLO,JERINGAS DE 20ML,TOM-9NFZV4,TOMA_MUESTRA,,Proveedor K,0,10,,unidades,,
dgCpu6Cf5PMvZrp2ICxb,TUBO AZUL,TOM-3FXO5L,TOMA_MUESTRA,,Proveedor L,0,10,,unidades,,
gJ52PeQ1MWNjjPOn6yGe,TUBO DORADO,TOM-PHLGCE,TOMA_MUESTRA,,Proveedor M,0,10,,unidades,,
